42,52,53,42,42,52,51,42,51,42,53,53,52,52,42,52,52,51,53,51,42
51,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,51
51,44,52,13,42,13,42,13,52,13,52,13,52,13,53,13,51,13,53,47,52
53,44,31,48,31,48,31,48,31,48,31,48,31,48,31,48,31,48,31,47,53
53,44,52,13,51,13,53,13,53,13,52,13,52,13,42,13,52,13,51,47,53
52,44,31,48,31,48,31,48,31,48,31,48,31,48,31,48,31,48,31,47,53
51,44,42,13,53,13,51,13,52,13,52,13,52,13,52,13,52,13,42,47,51
53,44,31,48,31,48,31,48,31,48,31,48,31,48,31,48,31,48,31,47,51
53,44,42,13,52,13,52,13,53,13,51,13,42,13,52,13,42,13,52,47,53
42,34,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,37,42
42,42,51,51,51,53,52,51,51,42,42,42,53,51,53,51,52,42,53,42,51
52,51,52,42,51,53,51,42,42,42,53,51,42,51,53,42,52,51,53,51,51
